"sobrenome","altura","peso","novo_imc"
"Aardsma",215,75,"Peso normal"
"Aaron",180,72,""
"Aaron",190,75,""
"Aase",190,75,""
"Abad",184,73,""
"Abad",235,74,"Peso normal"
"Abadie",192,72,""
"Abbaticchio",170,71,""
"Abbey",175,71,""
"Abbey",169,68,""
"Abbott",220,74,"Peso normal"
"Abbott",190,71,""
"Abbott",180,70,""
"Abbott",200,78,""
"Abbott",190,74,""
"Abbott",200,75,""
"Abbott",180,71,""
"Abbott",200,76,""
"Abbott",165,69,"Acima do peso"
"Abbott",185,75,""
"Aber",195,74,""
"Abercrombie",NA,NA,NA
"Abercrombie",215,75,"Peso normal"
"Abernathie",190,70,""
"Abernathy",185,73,""
"Abernathy",210,74,"Peso normal"
"Abernathy",215,76,"Peso normal"
"Abernathy",170,72,""
"Aberson",200,72,"Peso normal"
"Ables",200,74,"Peso normal"
"Abner",190,73,""
"Abrams",185,72,""
"Abrams",185,74,""
"Abrams",170,69,""
"Abrego",185,72,""
"Abreu",190,74,""
"Abreu",220,72,"Peso normal"
"Abreu",225,73,"Peso normal"
"Abreu",160,68,"Acima do peso"
"Abreu",235,75,"Peso normal"
"Abreu",185,72,""
"Abreu",200,70,"Peso normal"
"Abreu",170,74,"Acima do peso"
"Abstein",185,72,""
"Accardo",195,72,""
"Aceves",205,74,"Peso normal"
"Acevedo",240,79,"Peso normal"
"Acevedo",185,72,""
"Acevedo",245,74,"Peso normal"
"Achter",215,77,"Peso normal"
"Acker",210,74,"Peso normal"
"Acker",215,76,"Peso normal"
"Ackley",205,73,"Peso normal"
"Ackley",202,73,"Peso normal"
"Acosta",165,70,"Acima do peso"
"Acosta",215,77,"Peso normal"
"Acosta",134,66,"Acima do peso"
"Acosta",215,76,"Peso normal"
"Acosta",140,67,"Acima do peso"
"Acre",235,80,"Peso normal"
"Acta",172,74,"Acima do peso"
"Acuna",205,72,"Peso normal"
"Adair",168,72,"Acima do peso"
"Adair",175,72,""
"Adair",154,70,"Acima do peso"
"Adames",217,71,"Peso normal"
"Adames",210,72,"Peso normal"
"Adam",229,75,"Peso normal"
"Adams",182,70,""
"Adams",205,71,"Peso normal"
"Adams",220,75,"Peso normal"
"Adams",185,71,""
"Adams",185,73,""
"Adams",168,71,"Acima do peso"
"Adams",165,72,"Acima do peso"
"Adams",160,70,"Acima do peso"
"Adams",200,74,"Peso normal"
"Adams",180,72,""
"Adams",215,73,"Peso normal"
"Adams",165,71,"Acima do peso"
"Adams",205,74,"Peso normal"
"Adams",185,72,""
"Adams",185,75,""
"Adams",175,66,""
"Adams",180,73,""
"Adams",160,69,"Acima do peso"
"Adams",148,66,"Acima do peso"
"Adams",190,72,""
"Adamson",185,76,""
"Adams",170,74,"Acima do peso"
"Adams",190,76,""
"Adams",245,75,"Peso normal"
"Adamson",185,74,""
"Adams",180,69,""
"Adams",210,77,"Peso normal"
"Adams",185,72,""
"Adams",165,72,"Acima do peso"
"Adams",180,74,""
"Adams",249,76,"Peso normal"
"Adams",205,72,"Peso normal"
"Adams",185,71,""
"Adams",151,65,"Acima do peso"
"Adams",158,69,"Acima do peso"
"Adams",180,75,""
"Adams",180,76,""
"Adams",215,79,"Peso normal"
"Adcock",210,76,"Peso normal"
"Adcock",235,76,"Peso normal"
"Addis",175,72,""
"Adduci",200,77,""
"Adduci",210,74,"Peso normal"
"Addy",160,68,"Acima do peso"
"Adell",215,75,"Peso normal"
"Adenhart",185,75,""
"Aderholt",188,73,""
"Adkins",195,74,""
"Adkins",165,70,"Acima do peso"
"Adkins",220,70,"Peso normal"
"Adkins",175,71,""
"Atkinson",NA,NA,NA
"Adkins",200,72,"Peso normal"
"Adkins",210,78,"Peso normal"
"Adleman",225,77,"Peso normal"
"Adlesh",187,72,""
"Adon",246,74,"Peso normal"
"Adrianza",198,73,""
"Afenir",185,76,""
"Affeldt",225,76,"Peso normal"
"Agbayani",225,72,"Peso normal"
"Agee",195,71,""
"Agganis",200,74,"Peso normal"
"Agler",165,71,"Acima do peso"
"Agnew",185,71,""
"Agosto",190,74,""
"Agrazal",225,74,"Peso normal"
"Aguayo",173,69,""
"Aguila",200,71,"Peso normal"
"Aguilar",277,75,"Peso normal"
"Aguilar",194,68,"Peso normal"
"Aguilera",195,76,""
"Aguilar",168,74,"Acima do peso"
"Aguirre",205,76,"Peso normal"
"Ahearn",NA,NA,NA
"Ahearne",195,75,""
"Ahmed",201,74,"Peso normal"
"Aikens",220,75,"Peso normal"
"Ainge",175,76,""
"Ainsmith",180,71,""
"Ainsworth",192,75,""
"Aitchison",175,71,""
"Aiton",175,71,""
"Ake",180,73,""
"Akerfelds",210,74,"Peso normal"
"Aker",190,74,""
"Akers",178,71,""
"Akers",175,71,""
"Akin",235,71,"Peso normal"
"Akiyama",182,72,""
"Alaniz",220,76,"Peso normal"
"Alba",160,74,"Acima do peso"
"Albaladejo",270,77,"Peso normal"
"Albanese",215,75,"Peso normal"
"Albers",200,73,"Peso normal"
"Alberts",205,74,"Peso normal"
"Alberts",230,72,"Peso normal"
"Alberts",180,66,""
"Alberto",215,71,"Peso normal"
"Alberro",190,74,""
"Albers",225,73,"Peso normal"
"Albies",165,68,""
"Albosta",175,73,""
"Albrecht",165,70,"Acima do peso"
"Albright",175,69,""
"Alburquerque",195,72,""
"Albury",190,72,""
"Alcala",205,75,"Peso normal"
"Alcala",195,77,""
"Alcantara",170,70,""
"Alcantara",180,74,""
"Alcantara",220,76,"Peso normal"
"Alcantara",200,77,""
"Alcantara",151,69,"Acima do peso"
"Alcantara",190,74,""
"Alcaraz",165,69,"Acima do peso"
"Alcock",160,69,"Acima do peso"
"Alderson",190,70,""
"Aldrete",180,71,""
"Aldred",195,76,""
"Aldridge",210,72,"Peso normal"
